d_loss,d_val_loss,epoch,g_loss,g_val_loss,step
1.3917839527130127,,0,1.0145843029022217,,4
1.3890233039855957,,0,0.9288195371627808,,9
,1.386335015296936,0,,0.9529627561569214,9
1.3865587711334229,,1,0.8823822736740112,,14
1.3842129707336426,,1,0.8517143726348877,,19
,1.3833285570144653,1,,0.9395198822021484,19
1.3817981481552124,,2,0.8301260471343994,,24
1.3797451257705688,,2,0.808521568775177,,29
,1.3773375749588013,2,,0.9032596349716187,29
1.3780219554901123,,3,0.7894747853279114,,34
1.3803422451019287,,3,0.7735361456871033,,39
,1.3785940408706665,3,,0.8597655892372131,39
1.3863333463668823,,4,0.760001540184021,,44
1.3796515464782715,,4,0.7650452852249146,,49
,1.3887475728988647,4,,0.8375284671783447,49
1.3711748123168945,,5,0.7769579887390137,,54
1.3592376708984375,,5,0.7893061637878418,,59
,1.3980867862701416,5,,0.8281551003456116,59
1.3427678346633911,,6,0.8045764565467834,,64
1.3212952613830566,,6,0.8183388113975525,,69
,1.4156179428100586,6,,0.8134744167327881,69
1.2885327339172363,,7,0.8406835794448853,,74
1.2476568222045898,,7,0.873797595500946,,79
,1.4553626775741577,7,,0.7799468040466309,79
1.197208046913147,,8,0.9085765480995178,,84
1.1388471126556396,,8,0.9484556317329407,,89
,1.4989380836486816,8,,0.7476569414138794,89
1.064122200012207,,9,1.02065110206604,,94
0.9904732704162598,,9,1.1060527563095093,,99
,1.5686235427856445,9,,0.7213382124900818,99
0.9161043763160706,,10,1.187317132949829,,104
0.8334335088729858,,10,1.3053157329559326,,109
,1.6073651313781738,10,,0.7109635472297668,109
0.7601561546325684,,11,1.3999205827713013,,114
0.668703556060791,,11,1.5511903762817383,,119
,1.6267629861831665,11,,0.6905838847160339,119
0.5793848633766174,,12,1.6827671527862549,,124
0.5180881023406982,,12,1.8423185348510742,,129
,1.747477412223816,12,,0.6291725635528564,129
0.4340965151786804,,13,2.0078489780426025,,134
0.3705317974090576,,13,2.2013356685638428,,139
,1.8024191856384277,13,,0.5806613564491272,139
0.32350581884384155,,14,2.29375958442688,,144
0.27474135160446167,,14,2.4797732830047607,,149
,1.9034080505371094,14,,0.527636706829071,149
0.2245682030916214,,15,2.720707416534424,,154
0.18582692742347717,,15,2.816751480102539,,159
,1.9937293529510498,15,,0.4733361005783081,159
0.170016348361969,,16,3.0097784996032715,,164
0.1405632644891739,,16,3.0771613121032715,,169
,2.0825350284576416,16,,0.4340956509113312,169
0.12065152823925018,,17,3.3397982120513916,,174
0.09992742538452148,,17,3.389829158782959,,179
,2.1414601802825928,17,,0.40027862787246704,179
0.09119214117527008,,18,3.6477882862091064,,184
0.07171587646007538,,18,3.7765278816223145,,189
,2.151188611984253,18,,0.40658608078956604,189
0.07002407312393188,,19,3.829535484313965,,194
0.056698381900787354,,19,4.02518367767334,,199
,2.1769354343414307,19,,0.39638572931289673,199
